age,balance,day,month,duration,campaign,pdays,previous,subscribed,housing_yes,housing_nan,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_nan,marital_married,marital_single,marital_nan,contact_2.0,contact_nan,poutcome_2.0,poutcome_3.0,poutcome_4.0,poutcome_nan,education_2.0,education_2.5,education_3.0,education_nan,default_yes,default_nan,loan_yes,loan_nan,never_contacted_nan
32.0,-0.1101871101871102,1,apr,3.0944206008583692,1.0,-0.29101283880171186,0.0,no,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
39.0,0.09494109494109494,1,apr,-0.012875536480686695,1.0,-0.2796005706134094,-0.5,no,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
59.0,0.3354123354123354,1,apr,-0.4721030042918455,1.0,0.3252496433666191,-0.5,no,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
47.0,-0.10602910602910603,1,apr,0.1630901287553648,0.0,0.3195435092724679,0.0,no,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
54.0,0.31392931392931395,1,apr,1.0429184549356223,0.0,0.7132667617689016,-0.5,no,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
46.0,0.2598752598752599,1,apr,0.9742489270386266,0.0,-0.2796005706134094,0.5,no,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
34.0,0.9514899514899515,1,apr,-0.3218884120171674,1.0,0.4051355206847361,-0.5,no,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
45.0,-0.10741510741510742,1,apr,0.06437768240343347,3.0,0.8388017118402282,1.0,no,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
58.0,-0.16354816354816354,1,apr,-0.49356223175965663,1.0,-0.268188302425107,0.0,no,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
49.0,13.981981981981981,1,apr,0.21030042918454936,2.0,-0.28530670470756064,0.0,no,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
